"area","grad","dc"
9160,16,90
10160,16,100
16100,10,160
12163,16.5,120
2063,6.5,20
19180,18,190
2133,13.5,20
2130,13,20
15093,9.5,150
13090,9,130
12090,9,120
4143,14.5,40
1053,5.5,10
6150,15,60
4113,11.5,40
3113,11.5,30
3140,14,30
19150,15,190
19143,14.5,190
4070,7,40
3070,7,30
3073,7.5,30
9080,8,90
11090,9,110
8153,15.5,80
19113,11.5,190
18113,11.5,180
19110,11,190
17173,17.5,170
1063,6.5,10
1123,12.5,10
14093,9.5,140
13093,9.5,130
18163,16.5,180
17163,16.5,170
14113,11.5,140
13113,11.5,130
3130,13,30
18123,12.5,180
18120,12,180
2030,3,20
15170,17,150
5143,14.5,50
7150,15,70
12160,16,120
11160,16,110
13110,11,130
13100,10,130
16110,11,160
9083,8.5,90
19123,12.5,190
8083,8.5,80
10090,9,100
17113,11.5,170
9153,15.5,90
12093,9.5,120
15103,10.5,150
6080,8,60
19120,12,190
6143,14.5,60
5073,7.5,50
17123,12.5,170
4140,14,40
15110,11,150
5140,14,50
11093,9.5,110
4133,13.5,40
4130,13,40
2080,8,20
1073,7.5,10
18173,17.5,180
2070,7,20
13163,16.5,130
16113,11.5,160
14163,16.5,140
14110,11,140
7083,8.5,70
16170,17,160
15113,11.5,150
4073,7.5,40
8150,15,80
9090,9,90
8090,9,80
10093,9.5,100
10153,15.5,100
4080,8,40
3080,8,30
2123,12.5,20
5080,8,50
3123,12.5,30
19133,13.5,190
17120,12,170
16120,12,160
7143,14.5,70
6083,8.5,60
5133,13.5,50
5130,13,50
11143,14.5,110
11140,14,110
8093,9.5,80
7093,9.5,70
9093,9.5,90
15120,12,150
12110,11,120
1120,12,10
1113,11.5,10
10100,10,100
16123,12.5,160
11110,11,110
19173,17.5,190
12103,10.5,120
11103,10.5,110
5083,8.5,50
7090,9,70
14120,12,140
18133,13.5,180
2120,12,20
6090,9,60
9100,10,90
9150,15,90
10103,10.5,100
15123,12.5,150
15163,16.5,150
4083,8.5,40
11153,15.5,110
13160,16,130
6140,14,60
8100,10,80
6093,9.5,60
7140,14,70
14123,12.5,140
4123,12.5,40
9103,10.5,90
6133,13.5,60
6130,13,60
16130,13,160
7100,10,70
17170,17,170
19140,14,190
18140,14,180
18170,17,180
15130,13,150
14130,13,140
12113,11.5,120
11113,11.5,110
8103,10.5,80
13123,12.5,130
10150,15,100
3083,8.5,30
12153,15.5,120
8143,14.5,80
9120,12,90
9113,11.5,90
2083,8.5,20
9143,14.5,90
18160,16,180
17160,16,170
6100,10,60
8140,14,80
5090,9,50
4090,9,40
12123,12.5,120
11123,12.5,110
18150,15,180
17150,15,170
2113,11.5,20
16163,16.5,160
5093,9.5,50
18143,14.5,180
15133,13.5,150
14160,16,140
4093,9.5,40
7103,10.5,70
1110,11,10
7133,13.5,70
1103,10.5,10
7130,13,70
5100,10,50
11150,15,110
7120,12,70
6120,12,60
1100,10,10
1093,9.5,10
17143,14.5,170
10143,14.5,100
10123,12.5,100
9123,12.5,90
16143,14.5,160
16140,14,160
17140,14,170
9140,14,90
19153,15.5,190
3090,9,30
10113,11.5,100
13153,15.5,130
6103,10.5,60
19170,17,190
13130,13,130
14133,13.5,140
18153,15.5,180
15160,16,150
1083,8.5,10
12130,13,120
15140,14,150
5123,12.5,50
2090,9,20
6123,12.5,60
3093,9.5,30
16150,15,160
6110,11,60
4120,12,40
13133,13.5,130
5120,12,50
8133,13.5,80
8130,13,80
19160,16,190
9133,13.5,90
17153,15.5,170
11130,13,110
3120,12,30
5103,10.5,50
8120,12,80
8113,11.5,80
7113,11.5,70
12150,15,120
15150,15,150
14143,14.5,140
13143,14.5,130
4100,10,40
3100,10,30
2093,9.5,20
14153,15.5,140
13140,14,130
16160,16,160
15143,14.5,150
19163,16.5,190
12143,14.5,120
7123,12.5,70
4103,10.5,40
3103,10.5,30
6113,11.5,60
14150,15,140
14140,14,140
16153,15.5,160
8123,12.5,80
10130,13,100
15153,15.5,150
2100,10,20
12133,13.5,120
11133,13.5,110
5113,11.5,50
4110,11,40
5110,11,50
2110,11,20
3110,11,30
2103,10.5,20
9130,13,90
13150,15,130
12140,14,120
10140,14,100
10133,13.5,100
1030,3,10
1090,9,10
1153,15.5,10
1163,16.5,10
20193,19.5,200
16193,19.5,160
7183,18.5,70
2053,5.5,20
2073,7.5,20
19093,9.5,190
3133,13.5,30
3143,14.5,30
1080,8,10
1033,3.5,10
